SchoolID,SchoolName,Province,AcademicYear,ExamCenter,People_Total,Male,Female,Score_GTE_45,Score_35_to_45,Score_25_to_35,Score_LT_25,Male_GTE_45,Male_35_to_45,Male_25_to_35,Male_LT_25,Female_GTE_45,Female_35_to_45,Female_25_to_35,Female_LT_25
1,ມສ ສີທອງ,ນະຄອນຫຼວງວຽງຈັນ,2024-2025,ມສ ສີທອງ,46,25,21,1,44,1,0,0,24,1,0,1,20,0,0
2,ມສ ນາທຽມ,ນະຄອນຫຼວງວຽງຈັນ,2024-2025,ມສ ສີທອງ,52,29,23,1,50,1,0,1,28,0,0,0,22,1,0
3,ມສ ປາກຕອນ,ນະຄອນຫຼວງວຽງຈັນ,2024-2025,ມສ ສີທອງ,70,41,29,0,50,20,0,0,26,15,0,0,24,5,0
4,ມສ ນ້າສັງ,ນະຄອນຫຼວງວຽງຈັນ,2024-2025,ມສ ສີທອງ,37,19,18,0,27,10,0,0,11,8,0,0,16,2,0
5,ມສ ສັງໄຊ,ນະຄອນຫຼວງວຽງຈັນ,2024-2025,ມສ ສີທອງ,23,11,12,0,21,2,0,0,9,2,0,0,12,0,0
6,ມສ ນາຊາຍທອງ,ນະຄອນຫຼວງວຽງຈັນ,2024-2025,ມສ ນາຊາຍທອງ,164,72,92,3,152,9,0,0,67,5,0,3,85,4,0
